index,abstand_cm
0,20.77
1,20.81
2,20.93
3,20.65
4,20.91
5,20.91
6,20.91
7,20.91
8,20.55
9,20.81
10,20.57
11,20.91
12,20.91
13,20.59
14,20.88
15,20.81
16,20.91
17,20.91
18,20.65
19,20.91
20,20.79
21,20.91
22,20.91
23,20.65
24,20.91
25,20.91
26,20.81
27,20.89
28,20.64
29,20.91
30,20.91
31,20.79
32,20.91
33,20.91
34,20.91
35,20.89
36,20.91
37,20.81
38,20.91
39,20.91
40,20.57
41,20.89
42,20.81
43,20.89
44,20.91
45,20.57
46,20.91
47,20.57
48,20.81
49,21.61
